1.00279999999999840e-08 1.00000000000000004e-10 3.49012021587279675e-02 3.49012021587279814e-02
1.01279999999999832e-08 1.00000000000000004e-10 3.49012021587279675e-02 3.49012021587279814e-02
1.02279999999999825e-08 1.00000000000000004e-10 3.49012021587279675e-02 3.49012021587279744e-02
1.02799999999999997e-09 1.00000000000000004e-10 3.49012021587279744e-02 3.49012021587279744e-02
1.03279999999999817e-08 1.00000000000000004e-10 3.49012021587279675e-02 3.49012021587279744e-02
1.04279999999999809e-08 1.00000000000000004e-10 3.49012021587279675e-02 3.49012021587279814e-02
1.05279999999999802e-08 1.00000000000000004e-10 3.49012021587279675e-02 3.49012021587279744e-02
1.06279999999999794e-08 1.00000000000000004e-10 3.49012021587279814e-02 3.49012021587279744e-02
1.07279999999999787e-08 1.00000000000000004e-10 3.49012021587279814e-02 3.49012021587279814e-02
1.08279999999999779e-08 1.00000000000000004e-10 3.49012021587279744e-02 3.49012021587279744e-02
1.09279999999999772e-08 1.00000000000000004e-10 3.49012021587279744e-02 3.49012021587279814e-02
1.10279999999999764e-08 1.00000000000000004e-10 3.49012021587279814e-02 3.49012021587279675e-02
1.11279999999999756e-08 1.00000000000000004e-10 3.49012021587279814e-02 3.49012021587279675e-02
1.12279999999999749e-08 1.00000000000000004e-10 3.49012021587279744e-02 3.49012021587279744e-02
1.12800000000000003e-09 1.00000000000000004e-10 3.49012021587279744e-02 3.49012021587279814e-02
1.13279999999999741e-08 1.00000000000000004e-10 3.49012021587279675e-02 3.49012021587279744e-02
1.14279999999999734e-08 1.00000000000000004e-10 3.49012021587279814e-02 3.49012021587279744e-02
1.15279999999999726e-08 1.00000000000000004e-10 3.49012021587279814e-02 3.49012021587279744e-02
1.16279999999999718e-08 1.00000000000000004e-10 3.49012021587279675e-02 3.49012021587279814e-02
1.17279999999999711e-08 1.00000000000000004e-10 3.49012021587279814e-02 3.49012021587279814e-02
1.18279999999999703e-08 1.00000000000000004e-10 3.49012021587279814e-02 3.49012021587279814e-02
1.19279999999999696e-08 1.00000000000000004e-10 3.49012021587279814e-02 3.49012021587279675e-02
1.20279999999999688e-08 1.00000000000000004e-10 3.49012021587279744e-02 3.49012021587279814e-02
1.21279999999999680e-08 1.00000000000000004e-10 3.49012021587279675e-02 3.49012021587279814e-02
1.22279999999999673e-08 1.00000000000000004e-10 3.49012021587279675e-02 3.49012021587279814e-02
1.22800000000000010e-09 1.00000000000000004e-10 3.49012021587279814e-02 3.49012021587279675e-02
1.23279999999999665e-08 1.00000000000000004e-10 3.49012021587279675e-02 3.49012021587279675e-02
1.24279999999999658e-08 1.00000000000000004e-10 3.49012021587279675e-02 3.49012021587279814e-02
1.25279999999999650e-08 1.00000000000000004e-10 3.49012021587279675e-02 3.49012021587279814e-02
1.26279999999999643e-08 1.00000000000000004e-10 3.49012021587279814e-02 3.49012021587279744e-02
1.27279999999999635e-08 1.00000000000000004e-10 3.49012021587279814e-02 3.49012021587279675e-02
1.28000000000000023e-10 6.40000000000000116e-11 3.53274398027184564e-02 3.53274398027184564e-02
1.28279999999999627e-08 1.00000000000000004e-10 3.49012021587279814e-02 3.49012021587279814e-02
1.29279999999999620e-08 1.00000000000000004e-10 3.49012021587279744e-02 3.49012021587279814e-02
1.30279999999999612e-08 1.00000000000000004e-10 3.49012021587279744e-02 3.49012021587279814e-02
