0 0.00000000000000000e+00 4.99999999842214748e+00 4.99999999842214748e+00 0.00000000000000000e+00 0.00000000000000000e+00
1 2.00000000000000036e-12 4.99999999842214748e+00 4.99999999842214837e+00 0.00000000000000000e+00 6.93889390390722838e-18
2 4.00000000000000073e-12 4.99999999842214660e+00 4.99999999842214837e+00 -6.93889390390722838e-18 6.93889390390722838e-18
3 8.00000000000000145e-12 4.99999999842214660e+00 4.99999999842214748e+00 0.00000000000000000e+00 6.93889390390722838e-18
4 1.60000000000000029e-11 4.99999999842214748e+00 4.99999999842214660e+00 0.00000000000000000e+00 -6.93889390390722838e-18
5 3.20000000000000058e-11 4.99999999842214660e+00 4.99999999842214660e+00 -6.93889390390722838e-18 -6.93889390390722838e-18
6 6.40000000000000116e-11 4.99999999842214837e+00 4.99999999842214660e+00 6.93889390390722838e-18 -6.93889390390722838e-18
7 1.28000000000000023e-10 4.99999999842214660e+00 4.99999999842214837e+00 -6.93889390390722838e-18 6.93889390390722838e-18
8 2.28000000000000040e-10 4.99999999842214748e+00 4.99999999842214837e+00 -6.93889390390722838e-18 0.00000000000000000e+00
9 3.28000000000000056e-10 4.99999999842214748e+00 4.99999999842214837e+00 -6.93889390390722838e-18 0.00000000000000000e+00
10 4.28000000000000073e-10 4.99999999842214837e+00 4.99999999842214837e+00 0.00000000000000000e+00 0.00000000000000000e+00
11 5.28000000000000038e-10 4.99999999842214837e+00 4.99999999842214837e+00 0.00000000000000000e+00 0.00000000000000000e+00
12 6.28000000000000003e-10 4.99999999842214748e+00 4.99999999842214837e+00 -6.93889390390722838e-18 0.00000000000000000e+00
13 7.27999999999999968e-10 4.99999999842214837e+00 4.99999999842214837e+00 0.00000000000000000e+00 0.00000000000000000e+00
14 8.27999999999999932e-10 4.99999999842214748e+00 4.99999999842214837e+00 -6.93889390390722838e-18 0.00000000000000000e+00
15 9.27999999999999897e-10 4.99999999842214837e+00 4.99999999842214837e+00 0.00000000000000000e+00 0.00000000000000000e+00
16 1.02799999999999997e-09 4.99999999842214837e+00 4.99999999842214837e+00 6.93889390390722838e-18 6.93889390390722838e-18
17 1.12800000000000003e-09 4.99999999842214748e+00 4.99999999842214926e+00 0.00000000000000000e+00 6.93889390390722838e-18
18 1.22800000000000010e-09 4.99999999842214837e+00 4.99999999842214748e+00 0.00000000000000000e+00 6.93889390390722838e-18
19 1.32800000000000017e-09 4.99999999842214837e+00 4.99999999842214748e+00 6.93889390390722838e-18 6.93889390390722838e-18
20 1.42800000000000024e-09 4.99999999842214748e+00 4.99999999842214837e+00 0.00000000000000000e+00 6.93889390390722838e-18
21 1.52800000000000031e-09 4.99999999842214837e+00 4.99999999842214926e+00 0.00000000000000000e+00 6.93889390390722838e-18
