2 4.99999999847848109e+00 4.99999999886141833e+00 -9.89312104460182695e-12 -5.69164160246771189e-12
4 4.99999999863004785e+00 4.99999999881462642e+00 -3.58751223172859568e-12 -8.24569579283007670e-13
8 5.00000000306498293e+00 5.00000000777931408e+00 -7.02103861160985332e-11 -3.47846682013930319e-11
16 5.00000005659572544e+00 5.00000010194383560e+00 -4.71599863327565316e-10 -1.43730007062803367e-10
32 5.00000056188915565e+00 5.00000090956586618e+00 -3.11059480256892229e-09 -6.15227847833299535e-10
64 5.00000495928377120e+00 5.00000761129845905e+00 -2.14220661903796739e-08 -2.52743038997582659e-09
128 5.00004143258149369e+00 5.00006201655204308e+00 -1.54881737796097596e-07 -1.02226399290028525e-08
228 5.00015432471686694e+00 5.00022870443826228e+00 -5.24134406307275036e-07 -1.47763458413496807e-08
328 5.00011814869251392e+00 5.00017433209978623e+00 -3.22641628067166231e-07 2.29281730892982871e-08
428 5.00006791780684878e+00 5.00011024681687832e+00 -2.42616474556422990e-07 -1.33197613771951495e-08
528 5.00003484771821327e+00 5.00005859794283936e+00 -6.68786978297308821e-08 2.10631707700525972e-08
628 4.99999140082798910e+00 5.00000024165830936e+00 5.62105415685687504e-09 -1.23138962290769705e-08
728 4.99996214894594093e+00 4.99995318602686467e+00 1.56734226798571630e-07 1.93684904295499116e-08
827 4.99992440604097865e+00 4.99989978915113831e+00 2.22659713201844855e-07 -1.13629431697237493e-08
928 4.99989847722936531e+00 4.99985680487772211e+00 3.52892037557006599e-07 1.78069853792872657e-08
1028 4.99986549115903234e+00 4.99980757764471395e+00 4.13311238123270641e-07 -1.04267297712512530e-08
1128 4.99985191860457689e+00 4.99977226466762481e+00 4.90845983018572962e-07 1.57203630529734184e-08
1228 4.99986779987219609e+00 4.99974999506479811e+00 3.90999449019491241e-07 -1.23827498671458258e-08
1328 4.99986040355283379e+00 4.99972144020147891e+00 4.75745719367981490e-07 1.66629172751453503e-08
1428 4.99981326893659617e+00 4.99966490325018764e+00 5.84352680188526818e-07 -8.18647602485178538e-09
1528 4.99977662176213133e+00 4.99962017060251629e+00 7.36423559188903454e-07 1.48927100929174827e-08
1628 4.99973387946849002e+00 4.99956870931537356e+00 8.39516233003267942e-07 -7.17742992123460155e-09
1728 4.99970026431542003e+00 4.99952782720163391e+00 9.74216089653923145e-07 1.33062272519857139e-08
1828 4.99966172306404122e+00 4.99948103802933996e+00 1.07111642155127695e-06 -6.29159072063067981e-09
1928 4.99963089072233835e+00 4.99944362383486762e+00 1.19055243259086341e-06 1.19003292428643270e-08
2028 4.99959626021264381e+00 4.99940110181128361e+00 1.28088764297928925e-06 -5.52560646543964751e-09
2128 4.99956859137529896e+00 4.99936797241795805e+00 1.38480540489566151e-06 1.04917843024576740e-08
2228 4.99954240862211208e+00 4.99933676593205423e+00 1.45110377793716827e-06 -5.81397138071926278e-09
2328 4.99952099248686554e+00 4.99931235203304869e+00 1.53350046213501789e-06 9.47314889032657703e-09
2428 4.99949057375077910e+00 4.99927421828258467e+00 1.62025012229172205e-06 -3.75650415634920520e-09
2528 4.99946202580295651e+00 4.99923914112227230e+00 1.71975722425277144e-06 9.01477471837441868e-09
2628 4.99943195077343017e+00 4.99920065157870219e+00 1.80714264503417654e-06 -3.24477412994017556e-09
2728 4.99940568526956053e+00 4.99916822989146947e+00 1.89668785859770095e-06 8.10482250757083023e-09
2828 4.99937843039691199e+00 4.99913302005303883e+00 1.97755972034668881e-06 -2.82665576362139959e-09
2928 4.99935429361409689e+00 4.99910311151003572e+00 2.05825653434854594e-06 7.30982597368923237e-09
3028 4.99932956741650969e+00 4.99907089023486595e+00 2.13298539819550825e-06 -2.47983259621387120e-09
3128 4.99930762211991730e+00 4.99904339725023483e+00 2.20500974881104872e-06 6.60075887004563100e-09
3228 4.99928681627029459e+00 4.99901466819906926e+00 2.26812689856775718e-06 -2.29446922572762446e-09
3328 4.99926892282742230e+00 4.99899049819134866e+00 2.32638552252056874e-06 5.91707251251794020e-09
3428 4.99924888178940563e+00 4.99896353372960167e+00 2.38964784217421400e-06 -1.87540570573130339e-09
3528 4.99922850161908450e+00 4.99893897041584356e+00 2.45488048181835561e-06 5.55699027071643314e-09
3628 4.99920773710686195e+00 4.99891276496391601e+00 2.52046192858457196e-06 -1.62914665785551804e-09
3728 4.99918843207160357e+00 4.99888982131667969e+00 2.58134296843293143e-06 5.06784147286110098e-09
3828 4.99916942258829700e+00 4.99886578025627681e+00 2.64194435190684418e-06 -1.46457607846928184e-09
3928 4.99915163484847280e+00 4.99884464852469890e+00 2.69753698203117898e-06 4.63155090668632141e-09
4028 4.99913423362168086e+00 4.99882258321891104e+00 2.75345719492198215e-06 -1.32457522034057362e-09
4128 4.99911786976814909e+00 4.99880315144064991e+00 2.80419811780202588e-06 4.23662023518733832e-09
4228 4.99910209988650589e+00 4.99878315249602689e+00 2.85516468438717919e-06 -1.23952186015241494e-09
4328 4.99908738204941638e+00 4.99876578312299014e+00 2.90044691599739002e-06 3.84228277666709417e-09
4428 4.99907297001751960e+00 4.99874748886793974e+00 2.94748220190654830e-06 -1.10082444548798009e-09
4528 4.99905887242738967e+00 4.99873071696577220e+00 2.99079074942559808e-06 3.61398691528513893e-09
4628 4.99904504204504807e+00 4.99871302520045013e+00 3.03600331701819881e-06 -9.62879609378575196e-10
4728 4.99903179863555991e+00 4.99869719274984892e+00 3.07643734944601510e-06 3.33515926681515751e-09
4828 4.99901906693460507e+00 4.99868085707784982e+00 3.11820019927022685e-06 -8.87415502193178440e-10
4928 4.99900688094235424e+00 4.99866627389940188e+00 3.15525996043286572e-06 3.07235079044509973e-09
5028 4.99899519822465077e+00 4.99865124794615934e+00 3.19371422023012608e-06 -8.21016123142559451e-10
5128 4.99898399345746292e+00 4.99863782111669153e+00 3.22767181079597343e-06 2.83254203425897799e-09
5228 4.99897332712724651e+00 4.99862402273600015e+00 3.26286865775377022e-06 -7.65297575311407741e-10
5328 4.99896316326313883e+00 4.99861172919502028e+00 3.29354010049354162e-06 2.60687235686951624e-09
5428 4.99895346111455030e+00 4.99859907610163923e+00 3.32569680092792419e-06 -7.11378407569629445e-10
5528 4.99894396734443802e+00 4.99858767159259099e+00 3.35436980371250915e-06 2.41963142577628076e-09
5628 4.99893477205441705e+00 4.99857586033902201e+00 3.38487156409383871e-06 -6.50382123157378089e-10
5728 4.99892583886422148e+00 4.99856524266654834e+00 3.41178343963438602e-06 2.24063891052228570e-09
5828 4.99891732321323623e+00 4.99855433147488526e+00 3.44004857626839522e-06 -6.06365402333608472e-10
5928 4.99890909499111302e+00 4.99854455052950364e+00 3.46478868160082776e-06 2.07114422834386858e-09
6028 4.99890126923688882e+00 4.99853450504866004e+00 3.49080520880423739e-06 -5.66695156078989015e-10
6128 4.99889370064172489e+00 4.99852549935951718e+00 3.51352523003667372e-06 1.91521436210262408e-09
6228 4.99888651414841068e+00 4.99851625687084944e+00 3.53744887097995342e-06 -5.31184249363825245e-10
6328 4.99887957006484296e+00 4.99850798976824962e+00 3.55825744217247442e-06 1.76894292963636346e-09
6428 4.99887298384666323e+00 4.99849950459684944e+00 3.58021679772863033e-06 -4.98482220778750929e-10
6528 4.99886658593013600e+00 4.99849187483678037e+00 3.59937782511143833e-06 1.64066322333455972e-09
6628 4.99886048672157379e+00 4.99848399147476563e+00 3.61973502446821804e-06 -4.60451544948003999e-10
6728 4.99885455518775501e+00 4.99847689377305215e+00 3.63748218709658566e-06 1.52284355264820093e-09
6828 4.99884892400122194e+00 4.99846959125464529e+00 3.65628619086039164e-06 -4.29736815577008713e-10
6928 4.99884346148747216e+00 4.99846303850923679e+00 3.67261145558378521e-06 1.41040564644034916e-09
7028 4.99883828334585623e+00 4.99845630221138482e+00 3.68991845130922647e-06 -4.02210917349599129e-10
7128 4.99883325850325999e+00 4.99845025885966798e+00 3.70492103517888749e-06 1.30648963869717250e-09
7228 4.99882849858523759e+00 4.99844404369842188e+00 3.72084363949032326e-06 -3.76446013250486544e-10
7328 4.99882388217121409e+00 4.99843847030287680e+00 3.73461146763176544e-06 1.21024876925668323e-09
7428 4.99881951371652544e+00 4.99843273660071574e+00 3.74923828197482045e-06 -3.52406111236991393e-10
