# Generated by tools/models/license_audit.py - do not edit by hand.
# Per-file redistribution findings across models/spice/.
# severity=restricted means the file must not ship in a distributed
# build and must not be embedded in the binary.
# pack	path	marker	severity	line	definitions	evidence
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf5n3205.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf5nj5305.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf5nj5305.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf5nj540.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf5nj540.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf5nj9540.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf5nj9540.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf5njz48.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf5njz48.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf5y31n20.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf5y31n20.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf5y3710cm.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf5y3710cm.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf5y540cm.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf5y540cm.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf610.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf610.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf6100.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf6100.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf6156.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf6156.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf620.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf620.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf6215.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf6215.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf6216.spi	commercial-use-restricted	restricted	11	7	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf6216.spi	unpublished-proprietary	review	7	7	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf624.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf624.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf630.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf630.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf640.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf640.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf640ns.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf640ns.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf640s.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf640s.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf644s.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf644s.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf6601.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf6601.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf6602.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf6602.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf6603.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf6603.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf6604.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf6604.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf6607.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf6607.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7103.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7103.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7103q.spi	commercial-use-restricted	restricted	11	7	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7103q.spi	unpublished-proprietary	review	7	7	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7104.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7104.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7105n.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7105n.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7105p.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7105p.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7106n.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7106n.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7106p.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7106p.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf720.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf720.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7201.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7201.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7204.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7204.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7220.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7220.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7233.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7233.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf730.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf730.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7301.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7301.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7303.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7303.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7304.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7304.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7306.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7306.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7307n.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7307n.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7307p.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7307p.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7309n.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7309n.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7309p.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7309p.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf730a.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf730a.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7311.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7311.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7313.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7313.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7314.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7314.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7316.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7316.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7317n.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7317n.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7317p.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7317p.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7319n.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7319n.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7319p.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7319p.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7324.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7324.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7343n.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7343n.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7343p.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7343p.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7350n.spi	commercial-use-restricted	restricted	11	7	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7350n.spi	unpublished-proprietary	review	7	7	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7350p.spi	commercial-use-restricted	restricted	11	7	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7350p.spi	unpublished-proprietary	review	7	7	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7401.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7401.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7403.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7403.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7404.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7404.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7406.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7406.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf740lc.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf740lc.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7410.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7410.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7413.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7413.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7416.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7416.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7425.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7425.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7450.spi	commercial-use-restricted	restricted	11	7	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7450.spi	unpublished-proprietary	review	7	7	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7451.spi	commercial-use-restricted	restricted	11	7	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7451.spi	unpublished-proprietary	review	7	7	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7452.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7452.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7453.spi	commercial-use-restricted	restricted	11	7	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7453.spi	unpublished-proprietary	review	7	7	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7456.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7456.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7457.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7457.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7463.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7463.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7464.spi	commercial-use-restricted	restricted	11	7	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7464.spi	unpublished-proprietary	review	7	7	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7465.spi	commercial-use-restricted	restricted	11	7	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7465.spi	unpublished-proprietary	review	7	7	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7473.spi	commercial-use-restricted	restricted	11	7	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7473.spi	unpublished-proprietary	review	7	7	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7474.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7474.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7477.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7477.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7501.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7501.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7503.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7503.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7506.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7506.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7507n.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7507n.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7507p.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7507p.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7555.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7555.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7601.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7601.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/irf7603.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
