# Generated by tools/models/build_manifest.py - do not edit by hand.
# One row per SPICE definition found in models/spice/.
# restricted=1 means the defining file is marked non-shippable by
# tools/models/license_audit.py, even where its pack is otherwise usable.
# name	kind	device	pack	path	line	restricted
0603HS6N8	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	55	0
0603HS6N8	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	100	0
0603HS72N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	199	0
0603HS72N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	232	0
0603HS82N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	211	0
0603HS82N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	243	0
0603HSR10	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	223	0
0603HSR10	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	254	0
0603HSR11	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	235	0
0603HSR11	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	265	0
0603HSR12	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	247	0
0603HSR12	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	276	0
0805030	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	259	0
0805030	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	287	0
0805060	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	271	0
0805060	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	298	0
0805080	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	283	0
0805080	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	309	0
0805101	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	415	0
0805101	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	430	0
0805120	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	295	0
0805120	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	320	0
0805121	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	427	0
0805121	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	441	0
0805150	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	307	0
0805150	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	331	0
0805151	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	439	0
0805151	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	452	0
0805180	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	319	0
0805180	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	342	0
0805181	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	451	0
0805181	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	463	0
0805220	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	331	0
0805220	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	353	0
0805221	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	463	0
0805221	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	474	0
0805270	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	343	0
0805270	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	364	0
0805330	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	355	0
0805330	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	375	0
0805390	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	367	0
0805390	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	386	0
0805560	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	379	0
0805560	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	397	0
0805680	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	391	0
0805680	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	408	0
0805820	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	403	0
0805820	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	419	0
100117	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	3426	0
100117	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	3426	0
100118	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	3469	0
100118	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	3469	0
100126	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	3520	0
100126	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	3520	0
100130	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	3552	0
100130	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	3552	0
100135	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	3798	0
100135	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	3798	0
100156	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	3835	0
100156	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	3835	0
100158	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	3952	0
100158	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	3952	0
100165	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	4025	0
100165	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	4025	0
100166	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	4124	0
100166	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	4124	0
100175	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	4194	0
100175	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	4194	0
100179	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	4284	0
100179	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	4284	0
100180	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	4349	0
100180	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	4349	0
100183	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	4443	0
100183	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	4443	0
100301	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	4524	0
100301	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	4524	0
100302	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	4560	0
100302	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	4560	0
100304	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	4634	0
100304	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	4634	0
100307	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	4682	0
100307	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	4682	0
100310	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	4757	0
100310	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	4757	0
100311	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	4801	0
100311	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	4801	0
100313	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	4849	0
100313	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	4849	0
100314	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	4894	0
100314	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	4894	0
100315	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	4929	0
100315	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	4929	0
100316	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	4994	0
100316	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	4994	0
100319	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	5053	0
100319	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	5053	0
100321	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	5098	0
100321	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	5098	0
100322	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	5129	0
100322	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	5129	0
100323	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	5160	0
100323	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	5160	0
100324	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	5259	0
100324	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	5259	0
100325	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	5292	0
100325	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	5292	0
100331	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	5326	0
100331	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	5326	0
100341	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	5514	0
100341	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	5514	0
100343	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	5590	0
100343	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	5590	0
100344	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	5634	0
100344	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	5634	0
100350	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	5686	0
